# A股 Watchlist - 全量代码清单（配合 qt_quote.py 使用）
# 用法: python tools/qt_quote.py @watchlist.txt
# 创建: 2026-06-16  代码均已核验 ✅
# 格式: 代码 # 名称(赛道)  —— 用 # 注释方便人读，工具会自动忽略

# ===== L1: ETF 基金 =====
516150   # 稀土ETF嘉实（稀土永磁首选）
159713   # 稀土ETF富国
515880   # 通信ETF国泰（PCB/CPO/光模块最纯）
159363   # 创业板人工智能ETF华宝（CPO纯度高）
515260   # 电子ETF华宝（PCB最近）
588200   # 科创芯片ETF嘉实
159995   # 芯片ETF华夏
512760   # 半导体ETF国泰
159516   # 半导体设备ETF国泰
512400   # 有色金属ETF南方（规模王）
516650   # 有色金属ETF华夏（含小金属）
562800   # 稀有金属ETF嘉实（含锂钴）
518880   # 黄金ETF华安（避险规模王）
159934   # 黄金ETF易方达
159562   # 黄金股ETF华夏（权益类）
588000   # 科创50ETF华夏（宽基）

# ===== L2: 成长/进攻 - 半导体 =====
002371   # 北方华创（设备龙头）
688012   # 中微公司（刻蚀设备）
688082   # 盛美上海（清洗设备）
688072   # 拓荆科技（薄膜沉积）
688981   # 中芯国际（代工龙头）
688256   # 寒武纪（AI芯片）
688041   # 海光信息（CPU/DCU）
603501   # 韦尔股份（CIS）
603986   # 兆易创新（存储/MCU）
688126   # 沪硅产业（大硅片）
002409   # 雅克科技（前驱体）
600584   # 长电科技（封测）
002156   # 通富微电（封测AMD链）
688535   # 华海诚科（HBM材料）
688300   # 联瑞新材（HBM硅微粉）
300814   # 中富电路（HBM基板）

# ===== L2: 成长/进攻 - PCB/算力/CPO/光模块/铜缆 =====
600183   # 生益科技（CCL龙头）
002916   # 深南电路（PCB龙头）
002463   # 沪电股份（高速PCB）
300476   # 胜宏科技（AI服务器PCB）
002938   # 鹏鼎控股（PCB）
002384   # 东山精密（PCB）
688183   # 生益电子（PCB）
002436   # 兴森科技（载板）
603228   # 景旺电子（PCB/CPO）
300308   # 中际旭创（光模块龙头）
300502   # 新易盛（光模块）
000988   # 华工科技（光通信）
